Building,Building Number,Abbreviation,Precint,City,Floor Plan,FCI,LEED Level,LEED Certification Year,Gross SF,Year Built,Age,Resident or Non-resident,Ownership,Estimated Replacement Cost,Last Renovation Cost,Last Renovation Year,Building Condition,Air Cond,Accessibel Area,Assignable Area,Building Cost,Number of Floors,Last Update,Address
Camp Cabin #9 Millstone 4-H Camp,865J,MC9,Outlying,Ellerbe,,,,,392,1938,79,1,5,54528,,,3,1,0,372,,1,14,1040 Mallard Dr.
Camp Caretakers Home Millstone 4-H Camp,864D,MCD,Outlying,Ellerbe,,,,,1416,1938,79,1,5,196967,,,2,6,0,1132,,1,14,1040 Mallard Dr.
Camp Infirmary Millstone 4-H Camp,864A,MCA,Outlying,Ellerbe,,,,,280,1939,78,1,5,38949,,,2,6,0,192,,1,14,1040 Mallard Dr.
Camp Staff House - Mountain View Lodge-Swannanoa 4-H Camp,801Z,CSH,Outlying,Swannanoa,801z.pdf,,,,5870,2009,8,1,1,1178631,,,1,6,3479,5062,799245,3,14,170 Woodland Dr.
Camphouse (Anita Alta 4-H Outpost Camp),827A,AAA,Outlying,Lenoir,,,,,2592,1980,37,1,1,360550,,,3,1,0,1914,81648,1,14,Anita Alta 4-H Outpost Camp
Canine Facility I CVM,345A,VTL,West,Raleigh,345a.pdf,0.14,,,1030,,,,,,,,,,,,,,,1260 Horse Lane
Canine Facility II CVM,345B,VTM,West,Raleigh,345b.pdf,0.14,,,778,,,,,,,,,,,,,,,1250 Horse Lane
Canine Facility III - CVM,340,VTW,West,Raleigh,340.pdf,0.15,,,1696,,,,,,,,,,,,,,,1221 Horse Lane
Canoe Equipment Bldg.Millstone 4-H Camp,864X,MCX,Outlying,Ellerbe,,,,,80,1979,38,1,5,11129,,,4,1,0,76,,1,14,1040 Mallard Dr.
Caretakers Garage Millstone 4-H Camp,864B,MCB,Outlying,Ellerbe,,,,,400,1938,79,1,5,44492,,,3,1,0,385,,1,14,1040 Mallard Dr.
Caretaker's Home-Director's House-Swannanoa 4-H Camp,801C,SWC,Outlying,Swannanoa,,,,,1428,1936,81,1,1,170052,,,3,1,1142,1142,100975,1,14,170 Woodland Dr.
Carmichael Gym,101,CG,Central,Raleigh,101.pdf,0.35,,,355600,1961,56,1,1,80792302,246907,5,4,6,210183,244358,11218000,5,14,2611 Cates Ave.
Carmichael Recreation Center,101C,CGA,Central,Raleigh,101c.pdf,,,,42556,2007,10,1,1,9832134,,,1,6,28905,28905,7741530,3,14,410 Morrill Dr.
Carol Johnson Poole Clubhouse,787B,GC2,Centennial,Raleigh,787b.pdf,,Silver,2016,30407,2014,3,1,1,5749772,,,1,6,17474,18878,5533947,3,14,1509 Main Campus Dr.
Carroll Residence Hall,93,CAR,Central,Raleigh,93.pdf,,,,60749,1968,49,2,2,10750670,283740,98,2,6,3477,37245,1247000,11,14,2801 Thurman Dr.
Carter Finley Stad - Gates,135B,PB,West,Raleigh,135b.pdf,,,,19395,1966,51,1,1,8787540,,,2,1,4397,4397,193319,1,14,4600 Trinity Rd.
Carter-Finley Stadium - North End Zone,135,CF1,West,Raleigh,135.pdf,,,,140812,1966,51,1,1,58521467,789555,5,1,6,73184,73184,181671,6,14,4600 Trinity Rd.
Case Academic Center,103,CAC,Central,Raleigh,103.pdf,,,,24332,1971,46,1,1,10112379,431629,5,3,6,13916,13916,644000,3,14,240 Jeter Dr.
Caspian Hall-Wolf Village Apartments Bldg C,222C,WVC,Central,Raleigh,222c.pdf,,,,61360,2004,13,2,1,11100405,,,1,6,31562,35149,7313415,6,14,2750 Wolf Village Way
Cates Avenue Steam Plant,86,CAP,Central,Raleigh,86.pdf,0.01,Silver,2014,33301,2012,5,1,1,22885882,13940597,12,1,2,2180,2408,1065932,3,14,2811 Cates Ave.
Cattle And Swine Pens Rprl - CVM,134B,RPB,West,Raleigh,134b.pdf,,,,1200,1981,36,1,1,123376,,,1,1,0,1148,36695,1,14,1400 Blue Ridge Rd.
CATTLE SCALE SHED(UP,860X,,,,,,,,240,1970,47,1,1,14515,,,4,1,0,180,300,1,14,
CBC Facilities Service Center,317A,FSC,West,Raleigh,317a.pdf,,,,,,,,,,,,,,,,,,,3916 Westchase Blvd.
CBC Grounds Vehicle Storage,317B,GVS,West,Raleigh,317b.pdf,,,,,,,,,,,,,,,,,,,3916 Westchase Blvd.
CBC Hazmat Building,317C,VHZ,West,Raleigh,317c.pdf,,,,,,,,,,,,,,,,,,,3916 Westchase Blvd.
Centennial Campus Central Utility Plant (CCUP),705A,CTP,Centennial,Raleigh,705a.pdf,0.01,,,44978,2004,13,1,1,14091512,,,1,6,1272,1272,11452896,3,14,830 Main Campus Dr.
Centennial Campus Info Booth,717,CCI,Centennial,Raleigh,717.pdf,0.08,,,210,2001,16,1,1,130815,,,1,6,99,99,104143,1,14,1702 Varsity Dr.
Centennial Campus Landscape Services Facility,770,CLS,Centennial,Raleigh,770.pdf,,,,,,,,,,,,,,,,,,,691 Initiative Way
Centennial Campus Reuse Water Distribution Pumphouse,787G,GC6,Centennial,Raleigh,787g.pdf,,,,320,2014,3,1,1,503916,,,1,6,0,0,485000,1,14,1401 Main Campus Dr.
Centennial Grounds Shop,705B,CGT,Centennial,Raleigh,705b.pdf,,,,1412,2008,9,1,1,262466,,,1,6,1201,1201,218850,1,14,830 Main Campus Dr.
Centennial Landscape Services Pole Barn,770A,LSP,Centennial,Raleigh,770a.pdf,,,,,,,,,,,,,,,,,,,691 Initiative Way
Center for Marine Science and Technology (CMAST),874A,CMA,Outlying,Morehead City,874a.pdf,,,,53840,2000,17,1,1,13624618,367807,14,1,6,29367,29367,500000,4,14,303 College Circle
Center for Technology and Innovation,702,CTI,Centennial,Raleigh,702.pdf,,,,,,,,,,,,,,,,,,,1010 Main Campus Dr.
Center Office At Betsy Jeff Penn 4-H Camp,816Y,BJY,Outlying,Reidsville,,,,,1600,1964,53,1,1,222561,,,3,1,624,624,104000,1,14,804 Cedar Lane
Challenge Course Shelter and Storage Building,823H,CCS,Reedy Creek,Raleigh,823h.pdf,,,,,,,,,,,,,,,,,,,4890 Reedy Creek Rd.
CHANCELLORS GARAGE,1A,,,,,0.29,,,564,1930,87,1,1,59680,,,1,1,0,442,2725,1,14,
Chancellor's Residence,,,,,,0.12,,,8424,,,,,,,,,,,,,,,
CHEMICAL STORAGE UNI,54A,,,,,,,,121,1993,24,1,1,44772,,,1,1,92,92,25000,1,14,
CHEMICAL STORAGE UNI,54B,,,,,,,,121,1993,24,1,1,38515,,,1,1,92,92,25000,1,14,
CHEMICAL STORAGE UNI,68A,,,,,,,,143,1991,26,1,1,39754,,,1,1,112,112,25000,1,14,
Chemical Storage Unit @ Dabney,054A,54A,North,Raleigh,54a.pdf,,,,,,,,,,,,,,,,,,,2620 Yarbrough Dr.
Chemical Storage Unit @ Dabney,054B,54B,North,Raleigh,54b.pdf,,,,,,,,,,,,,,,,,,,2620 Yarbrough Dr.
Chemical Storage Unit @ Scott,068A,CSU,North,Raleigh,68a.pdf,-,,,143,,,,,,,,,,,,,,,2711 Founders Dr.
Chemistry Storage,248,CHS,South,Raleigh,248.pdf,,,,495,1981,36,1,1,48057,,,2,1,0,438,12375,1,14,1409 Varsity Dr.
Cherry Building,755D,CHB,Centennial,Raleigh,755d.pdf,,,,29174,1949,68,1,2,2127670,,,3,6,8672,19076,921600,3,14,715 Barbour Dr.
CHILLED WATER CENTRA,29B,,,,,,,,38639,2005,12,1,1,34849589,,,1,6,9647,10168,26735855,3,14,
Chilled Water Central Plant,029B,CWP,North,Raleigh,29b.pdf,,,,,,,,,,,,,,,,,,,2411 Yarbrough Dr.
Clark Hall,106,CH,Central,Raleigh,106.pdf,0.03,,,27057,1939,78,1,1,11851286,400000,81,1,5,13322,13322,100000,4,14,221 Jensen Dr.
Class Bldg/Store/Nature Center Millstone 4-H Camp,864C,MCC,Outlying,Ellerbe,,,,,585,1938,79,1,5,81373,,,3,1,468,468,,1,14,1040 Mallard Dr.
Classroom #1 At Betsy Jeff Penn 4-H Camp,816P,BJO,Outlying,Reidsville,,,,,1296,1972,45,1,1,235141,,,3,6,1166,1166,70761,1,14,804 Cedar Lane
Classroom #2 At Betsy Jeff Penn 4-H Camp,816Q,BJQ,Outlying,Reidsville,,,,,1296,1972,45,1,1,235141,,,3,6,1166,1166,70761,1,14,804 Cedar Lane
Close-King Indoor Practice Facility,135J,IPF,West,Raleigh,135j.pdf,,Silver,2016,,2015,2,,,,,,,,,,,,,4550 Trinity Rd.
CMAST Coastal Quarters,999L,CCQ,Outlying,Morehead City,999l.pdf,,,,,,,,,,,,,,,,,,,3809 Guardian Ave.
CNR Camp House 2004-1 -Rougemont,842W,CH3,Outlying,Rougemont,842w.pdf,,,,900,2004,13,1,1,239810,,,1,6,786,786,138023,1,14,915 SR1614
CNR Camp House 2004-2 -Rougemont,842X,CH4,Outlying,Rougemont,842x.pdf,,,,1516,2004,13,1,1,210876,,,1,6,1169,1169,69012,2,14,915 SR1614
Cnr Equip Storage UFL 103G-Reedy Creek,820F,Y25,Reedy Creek,Raleigh,,,,,381,1978,39,1,1,39172,,,1,1,0,380,3482,1,14,4905 Reedy Creek Rd.
CNR Flammable Storage Bldg- Rougemont,842T,T46,Outlying,Rougemont,,,,,89,1983,34,1,1,9150,,,1,1,0,75,200,1,14,SR 1614
CNR Hampton Tract Tob Barn #1-Rougemont,842N,N36,Outlying,Rougemont,,,,,500,1978,39,1,1,51407,,,1,1,0,450,17199,1,14,SR 1603
CNR Hampton Tract Tobacco Barn # 1-Rougemont,842M,M35,Outlying,Rougemont,,,,,500,1978,39,1,1,51407,,,1,1,0,450,17199,1,14,SR 1603
CNR Log Tenant House -Rougemont,842D,D27,Outlying,Rougemont,,,,,1250,1933,84,1,1,173876,,,2,1,0,1063,3849,1,14,SR 1614
CNR Log Tob Barn # 1 Block D-Rougemont,842F,F29,Outlying,Rougemont,,,,,500,1935,82,1,1,69551,,,1,1,0,450,1716,1,14,SR 1614
CNR Log Tob Barn/Watkins House -Rougemont,842H,H31,Outlying,Rougemont,,,,,324,1935,82,1,1,45068,,,1,1,0,292,1112,1,14,SR 1614
CNR Log Tob Barn-Log Tenant House- Rougemont,842P,P40,Outlying,Rougemont,,,,,500,1978,39,1,1,69551,,,1,1,0,450,17199,1,14,SR 1614
CNR Log Tob Barn-Log Tenant House- Rougemont,842Q,LOG,Outlying,Rougemont,,,,,324,1930,87,1,1,45068,,,1,1,0,292,500,1,14,SR 1614
CNR Toilet/Shower Bldg-South -Rougemont,842U,U47,Outlying,Rougemont,842u.pdf,,,,729,1983,34,1,1,158720,,,1,1,592,592,200,1,14,SR 1614
CNR Watkins Tenant House -Rougemont,842J,WTH,Outlying,Rougemont,,,,,1585,1976,41,1,1,220475,,,1,1,0,1347,48040,1,14,SR 1614
CNR-Log Tob Barn #2 Block D-Rougemont,842G,G30,Outlying,Rougemont,,,,,500,1935,82,1,1,69551,,,1,1,0,450,1716,1,14,SR 1614
Coliseum Parking Deck,99,PD,Central,Raleigh,99.pdf,,,,742848,1974,43,1,2,58404324,224000,14,1,1,3696,3696,1907310,5,14,201 Jeter Dr.
College Of Textiles,700,TEX,Centennial,Raleigh,700.pdf,0.15,,,303543,1990,27,1,1,115114234,1952667,14,2,6,208654,210503,26525000,7,14,1020 Main Campus Dr.
"Comfort Station, Hole 15",787F,GC5,Centennial,Raleigh,787f.pdf,,,,,,,,,,,,,,,,,,,2001 Main Campus Dr.
"Comfort Station, Hole 4",787E,GC4,Centennial,Raleigh,787e.pdf,,,,,,,,,,,,,,,,,,,1301 Main Campus Dr.
Compost Facility-Lake Wheeler,815J,COF,Lake Wheeler Site,Raleigh,815j.pdf,,,,236,1997,20,1,1,71365,321651,2,1,6,0,158,40000,1,14,4055 Inwood Rd.
Constructed Facilities Lab,720C,ERC,Centennial,Raleigh,720c.pdf,,,,25358,1997,20,1,1,15126906,,,1,6,16547,16588,4020096,3,14,2414 Campus Shore Dr
Corn Jug Cabin At Betsy Jeff Penn 4-H Camp,816W,BJW,Outlying,Reidsville,,,,,816,1980,37,1,1,113507,,,3,1,0,759,28274,1,14,804 Cedar Lane
Cottage #1 At Betsy Jeff Penn 4-H Camp,816C,BJC,Outlying,Reidsville,816c.pdf,,,,2320,1964,53,1,1,533776,,,4,1,0,1819,83600,2,14,804 Cedar Lane
Cottage #2 At Betsy Jeff Penn 4-H Camp,816D,BJD,Outlying,Reidsville,816d.pdf,,,,2320,1964,53,1,1,533776,,,4,1,1084,1819,83600,2,14,804 Cedar Lane
Cottage #3 At Betsy Jeff Penn 4-H Camp,816E,BJE,Outlying,Reidsville,816e.pdf,,,,2320,1964,53,1,1,533776,,,4,1,0,1819,83600,2,14,804 Cedar Lane
Cottage #4 At Betsy Jeff Penn 4-H Camp,816F,BJF,Outlying,Reidsville,816f.pdf,,,,2320,1964,53,1,1,533776,,,4,1,0,1819,83600,2,14,804 Cedar Lane
Cottage #5 At Betsy Jeff Penn 4-H Camp,816G,BJG,Outlying,Reidsville,816g.pdf,,,,2320,1964,53,1,1,533776,,,4,1,1084,1819,83600,2,14,804 Cedar Lane
Cottage #6 At Betsy Jeff Penn 4-H Camp,816H,BJH,Outlying,Reidsville,816h.pdf,,,,2320,1964,53,1,1,533776,,,4,1,0,1819,83600,2,14,804 Cedar Lane
Cottage #7 At Betsy Jeff Penn 4-H Camp,816J,BJJ,Outlying,Reidsville,816j.pdf,,,,2320,1964,53,1,1,533776,,,4,1,0,1819,83600,2,14,804 Cedar Lane
Cottage #8 At Betsy Jeff Penn 4-H Camp,816K,BJK,Outlying,Reidsville,816k.pdf,,,,2320,1964,53,1,1,533776,,,4,1,0,1819,83600,2,14,804 Cedar Lane
Council Building,755C,COB,Centennial,Raleigh,755c.pdf,,,,58868,1924,93,1,1,15290963,,,3,6,0,45000,2207100,1,14,701 Barbour Dr.
Cox Hall,55,COX,North,Raleigh,55.pdf,0.14,,,66004,1960,57,1,1,29628442,1649144,2,3,6,40093,40093,1078000,8,14,2700 Katharine Stinson Dr.
Craft Shelter At Betsy Jeff Penn 4-H Camp,816S,BJS,Outlying,Reidsville,,,,,1296,1964,53,1,1,109732,,,3,1,0,1166,64800,1,14,804 Cedar Lane
Crafts Shelter - Swannanoa 4-H Camp,801Q,SWQ,Outlying,Swannanoa,,,,,540,1936,81,1,1,55519,,,3,1,513,513,10298,1,14,170 Woodland Dr.
Crop Garden Storage,830K,CG2,Lake Wheeler Site,Raleigh,830k.pdf,,,,405,2004,13,1,1,35768,,,1,1,0,373,20250,1,14,3014 Mid Pines Dr.
CROP SCIENCE 1238 S.,960C,,,,,,,,4810,1961,56,1,4,1047248,,,1,1,0,4800,,1,14,
Crop Science Equipment Storage Shelter,465N,RCN,Reedy Creek,Raleigh,465n.pdf,,,,,,,,,,,,,,,,,,,4116 Reedy Creek Rd.
Crops Garden Pole Barn,830L,CG3,Lake Wheeler Site,Raleigh,830l.pdf,,,,395,2004,13,1,1,34884,,,1,1,0,380,19750,1,14,3014 Mid Pines Dr.
CUM Annex Gilt/Boar Building,,,,,,0.11,,,875,,,,,,,,,,,,,,,
CVM Annex,134,CVA,West,Raleigh,134.pdf,0.11,,,5224,1959,58,1,1,1579701,,,4,3,3553,3553,48000,1,14,1400 Blue Ridge Rd.
CVM Annex Storage Building,,,,,,0.18,,,854,,,,,,,,,,,,,,,
CVM Annex Utility Building,,,,,,0.23,,,284,,,,,,,,,,,,,,,
CVM Cattle and Swine Pens,,,,,,0.11,,,1200,,,,,,,,,,,,,,,
CVM Chemical Storage Building,324,CCL,West,Raleigh,324.pdf,0.05,,,180,,,,,,,,,,,,,,,1214 Blue Ridge Rd.
CVM Chemical Storage Building,,,,,,0.1,,,726,,,,,,,,,,,,,,,
CVM Equine Farrier Shop At Southern Pines,872B,EFS,Outlying,Southern Pines,872b.pdf,,,,,,,,,,,,,,,,,,,6045 US Highway #1 North
CVM Equine Health Center At Southern Pines,872A,EHC,Outlying,Southern Pines,872a.pdf,,,,,,,,,,,,,,,,,,,6045 US Highway #1 North
CVM Grounds Shop,,,,,,0.1,,,3880,,,,,,,,,,,,,,,
CVM Main Building,301,VET,West,Raleigh,301.pdf,,,,,,,,,,,,,,,,,,,1060 William Moore Dr.
CVM Power Plant,,,,,,0.03,,,15504,,,,,,,,,,,,,,,
CVM Research Building,300A,CRA,West,Raleigh,300a.pdf,0.05,,,100020,,,,,,,,,,,,,,,1051 William Moore Dr.
CVM Teaching Animal Unit,,,,,,0.06,,,5487,,,,,,,,,,,,,,,
CVM/ Main Vet School,,,,,,0.04,,,312413,,,,,,,,,,,,,,,
D H Hill Library,,,,,,0.05,,,103462,,,,,,,,,,,,,,,
D S Weaver Labs,117,DSW,Central,Raleigh,117.pdf,,,,88798,1956,61,1,1,35051337,324970,99,2,6,62294,62528,741000,2,14,3110 Faucette Dr.
D10 Turfhouse Block building (Sandhills),870A,BBS,Outlying,Jackson Springs,870a.pdf,,,,900,1953,64,1,1,92533,,,1,1,0,895,4000,1,14,2148 Windblow Rd.
D5 Irrigation House (Sandhills),870B,ISB,Outlying,Jackson Springs,,,,,1500,1957,60,1,1,154221,,,1,1,0,1248,6000,1,14,2148 Windblow Rd.
Dabney Chemical Storage Unit A,,,,,,0.29,,,121,,,,,,,,,,,,,,,
Dabney Chemical Storage Unit B,,,,,,0.38,,,121,,,,,,,,,,,,,,,
Dabney Hall,54,DAB,North,Raleigh,54.pdf,0.24,,,139827,1969,48,1,1,58112101,1668027,2,3,6,75122,75122,2911000,11,14,2620 Yarbrough Dr.
Dail Outdoor Tennis Stadium,158H,DTS,Central,Raleigh,158h.pdf,,,,4330,2012,5,1,1,1552684,,,1,3,3458,3458,1308373,1,14,1084 Varsity Dr.
Dail Softball Stadium Batting Cage,115F,DSS,Central,Raleigh,115f.pdf,,,,240,2011,6,1,1,111485,,,1,6,2271,2271,87780,1,14,2505 Cates Ave.
Dail Softball Stadium Pressbox And Seating,115C,WSP,Central,Raleigh,115c.pdf,,,,240,2007,10,1,1,55058,,,1,6,216,216,48000,1,14,2505 Cates Ave.
Dail Softball Stadium Toilet-Concessions-Elect-Mech Building,115D,WSF,Central,Raleigh,115d.pdf,,,,2058,2007,10,1,1,404056,,,1,6,298,298,321200,1,14,2505 Cates Ave.
Dairy Farm Administrative/Museum-Lake Wheeler,813B,X78,Lake Wheeler Site,Raleigh,813b.pdf,,,,6012,1980,37,1,1,773776,8600,98,1,3,850,4804,216612,2,14,301 Dairy Lane
Dairy Milking Parlor,825D,MOO,Lake Wheeler Site,Raleigh,825d.pdf,,,,6199,2011,6,1,1,2144070,786228,13,1,6,4638,4638,224548,1,14,301 Dairy Lane
Dairy Student House-UFL D26,819A,DSH,Lake Wheeler Site,Raleigh,819a.pdf,,,,2096,1981,36,2,1,267065,,,2,6,0,1740,27273,1,14,4329 Inwood Rd.
Dan Allen Drive Parking Deck,60,PDD,North,Raleigh,,,,,436710,1990,27,1,2,35379977,,,1,1,3915,6853,8223992,4,14,110 Dan Allen Dr.
Daniels Hall,38,DAN,North,Raleigh,38.pdf,0.28,,,132463,1926,91,1,1,48171625,7932185,7,2,4,79317,79740,3518396,5,14,111 Lampe Dr.
David Clark Labs,75,DCL,North,Raleigh,75.pdf,,,,94787,1939,78,1,1,32715987,17766782,5,1,5,50111,50160,271000,4,14,100 Eugene Brooks Ave.
David Clark Labs and Addition,,,,,,,,,94789,,,,,,,,,,,,,,,
Daylight Research Facility,162,DRF,West,Raleigh,162.pdf,,,,560,1990,27,1,1,103964,,,1,1,0,510,40000,1,14,3233 Ligon St.
Daylight Research Lab,,,,,,0.45,,,560,,,,,,,,,,,,,,,
Daylight Rotating Test Lab,162A,RDF,West,Raleigh,162a.pdf,-,,,255,1990,27,1,5,29421,,,1,1,0,230,,1,14,3223 Ligon St.
Dearstyne Avian Health Center,164A,DEA,West,Raleigh,164a.pdf,,,,2100,1968,49,1,1,825533,,,3,3,1317,1327,132894,1,14,3221 Ligon St.
Dearstyne Complex A,,,,,,0.48,,,2100,,,,,,,,,,,,,,,
Dearstyne Complex B,,,,,,0.32,,,5280,,,,,,,,,,,,,,,
Dearstyne Complex C,,,,,,0.53,,,6300,,,,,,,,,,,,,,,
Dearstyne Complex D,,,,,,-,,,233,,,,,,,,,,,,,,,
Dearstyne Entomology Bldg,164C,DEC,West,Raleigh,164c.pdf,,,,6240,1967,50,1,1,1084871,218774,96,3,6,4515,4515,200000,1,14,3230 Ligon St.
Dearstyne Isol Units,164B,DEB,West,Raleigh,164b.pdf,,,,5420,1968,49,1,1,752963,,,3,3,3513,3513,305106,1,14,3221 Ligon St.
Dearstyne Storage Bldg,164D,DSB,West,Raleigh,164d.pdf,,,,233,1968,49,1,1,23955,,,3,1,0,212,1631,1,14,3221 Ligon St.
DH HILL (OLD BOOKSTA,47B,,,,,,,,109116,1975,42,1,1,30209318,,,2,6,70817,70979,231351,11,14,
DH Hill (Old Bookstacks),047B,DLH,North,Raleigh,47b.pdf,,,,,,,,,,,,,,,,,,,2 Broughton Dr.
DH Hill Library,47,DHL,North,Raleigh,47.pdf,,,,103745,1953,64,1,1,37683079,9572657,6,2,6,71994,72095,4890000,6,14,2 Broughton Dr.
DH HILL NEW BOOKSTAC,47C,,,,,,,,111889,1990,27,1,1,31201116,,,2,6,68576,68715,9325000,12,14,
DH Hill New Bookstack,047C,DHN,North,Raleigh,47c.pdf,,,,,,,,,,,,,,,,,,,2 Broughton Dr.
DH Hill North Tower (Old Stacks),,,,,,0.21,,,108956,,,,,,,,,,,,,,,
DH Hill South Tower (New Stacks),,,,,,0.15,,,111605,,,,,,,,,,,,,,,
Dining Hall - Main Lodge-Swannanoa 4-H Camp,801B,SWB,Outlying,Swannanoa,801b.pdf,,,,7180,1929,88,1,1,2258029,,,3,1,6639,6639,497390,1,14,170 Woodland Dr.
Dining Hall & Kitchen At Betsy Jeff Penn 4-H Camp,816R,BJR,Outlying,Reidsville,,,,,3816,1964,53,1,1,692358,,,3,6,3237,3237,248040,1,14,804 Cedar Lane
Dining Hall/Kitchen Millstone 4-H Camp,865R,M38,Outlying,Ellerbe,865r.pdf,,,,4228,1938,79,1,5,588119,,,3,3,3088,3382,,1,14,1040 Mallard Dr.
Director's Residence At Betsy Jeff Penn 4-H Camp,816A,BJA,Outlying,Reidsville,,,,,2390,1964,53,1,1,384486,,,3,6,0,1464,21259,1,14,804 Cedar Lane
Doak Field-Concessns/Mens-Rm,158E,TMC,Central,Raleigh,158e.pdf,,,,1029,2004,13,1,1,293708,,,1,6,369,369,179854,1,14,1081 Varsity Dr.
Doak Field-Concessns/Womens-Rm,158F,TWC,Central,Raleigh,158f.pdf,,,,1029,2004,13,1,1,293708,,,1,6,366,366,179854,1,14,1081 Varsity Dr.
Doak Field-Field-Hse And Seats,158B,FHD,Central,Raleigh,158b.pdf,,,,9740,2004,13,1,1,2609863,,,1,1,6004,6004,245377,2,14,1081 Varsity Dr.
Doak Field-Indoor Batting Cage,158C,IBC,Central,Raleigh,158c.pdf,,,,3176,2004,13,1,1,404991,,,1,6,2954,2954,248000,1,14,1081 Varsity Dr.
Doak Field-Press Box,158D,PBD,Central,Raleigh,158d.pdf,,,,1407,2004,13,1,1,327643,,,1,6,949,979,200634,1,14,1081 Varsity Dr.
Doak Field-Ticket Booth,158G,TBD,Central,Raleigh,158g.pdf,,,,287,2004,13,1,1,77197,,,1,6,207,207,47273,1,14,1081 Varsity Dr.
Don E Ellis Building,133,DEE,South,Raleigh,133.pdf,0.07,,,7813,1962,55,1,1,3589308,160064,96,3,2,2555,5238,27000,2,14,1320 Varsity Dr.
Dorothy and Roy Park Alumni Ctr,786A,ALC,Centennial,Raleigh,786a.pdf,,,,59996,2006,11,1,1,24191443,,,1,6,29664,29859,20000000,4,14,2450 2450 Alumni Dr.
Dorthy and Roy Park Alumni Center,,,,,,0.07,,,58313,,,,,,,,,,,,,,,
DS Weaver Laboratories,,,,,,0.23,,,88798,,,,,,,,,,,,,,,
Dwelling Supervsr (Lowcoastal),855A,Q99,Outlying,Kinston,,,,,1200,1965,52,2,1,193047,,,2,6,0,1080,14880,1,14,200 Cunningham Rd.
DWELLING(SANDHILLS),870C,,,,,,,,1152,1974,43,2,1,185326,,,2,6,0,1104,14700,1,14,
E/Well Pumphouse UFL 463,463,W2,West,Raleigh,,0.26,,,137,1991,26,1,1,11600,,,1,1,0,130,2000,1,14,4301 Beryl Rd.
Early College High School,,,,,,0.28,,,12398,,,,,,,,,,,,,,,
East Barn - CVM,304,VTD,West,Raleigh,304.pdf,,,,,,,,,,,,,,,,,,,4505 Terry Curtin Dr.
Eastern 4-H - Exec Lodge 03El,837C,TE3,Outlying,Columbia,837c.pdf,,,,2585,2002,15,2,1,443997,,,1,6,1680,1924,256173,1,14,100 North Clover Way
Eastern 4-H - Exec Lodge 05El,837E,TE5,Outlying,Columbia,837e.pdf,,,,2585,2002,15,2,1,443997,,,1,6,1679,1923,256173,1,14,100 North Clover Way
Eastern 4-H - Exec Lodge 06El,837F,TE6,Outlying,Columbia,837f.pdf,,,,2170,2002,15,2,1,372717,,,1,6,1740,1921,256173,1,14,100 North Clover Way
Eastern 4-H - Group Lodge 17,837P,T27,Outlying,Columbia,837p.pdf,,,,2414,2009,8,2,1,443827,,,1,6,2079,2079,365299,1,14,100 North Clover Way
Eastern 4-H - Group Lodge 18,837Q,T28,Outlying,Columbia,837q.pdf,,,,2414,2009,8,2,1,574936,,,1,6,2079,2079,470616,1,14,100 North Clover Way
Eastern 4-H - Group Lodge 20Gl,837S,T20,Outlying,Columbia,837s.pdf,,,,2083,2002,15,2,1,357774,,,1,6,1854,1854,204000,1,14,100 North Clover Way
Eastern 4-H - Maint Bldg 09Mt,837H,TM9,Outlying,Columbia,837h.pdf,,,,3116,2002,15,1,1,312378,,,1,6,2773,2773,185130,1,14,100 North Clover Way
Eastern 4-H - Staff House 10Sh,837J,T10,Outlying,Columbia,837j.pdf,,,,2663,2002,15,2,1,457395,,,1,6,2148,2148,295000,1,14,100 North Clover Way
Eastern 4-H - Wet Lab 21Wl,837T,T21,Outlying,Columbia,837t.pdf,,,,905,2002,15,1,1,152316,,,1,6,837,837,90270,1,14,100 North Clover Way
Eastern 4-H Boat House Storage,837U,T22,Outlying,Columbia,837u.pdf,,,,1272,2002,15,1,1,292587,,,1,6,973,973,173400,1,14,100 North Clover Way
Eastern 4-H Conference Ctr,837B,TC2,Outlying,Columbia,837b.pdf,,,,5396,2002,15,1,1,1576768,,,1,6,4488,4488,872000,1,14,100 North Clover Way
Eastern 4-H Dining Hall,837A,TD1,Outlying,Columbia,837a.pdf,,,,8663,2002,15,1,1,1886134,,,1,6,7033,7033,1405000,1,14,100 North Clover Way
Eastern 4-H Environmental Education and Conference Center,,,,,,,Gold,2013,,2010,7,,,,,,,,,,,,,
Eastern 4-H Exec Lodge 04El,837D,TE4,Outlying,Columbia,837d.pdf,,,,2170,2002,15,2,1,372717,,,1,6,1683,1921,256173,1,14,100 North Clover Way
Eastern 4-H Group Lodge 19 Gl,837R,T19,Outlying,Columbia,837r.pdf,,,,2083,2002,15,2,1,357774,,,1,6,1854,1854,204000,1,14,100 North Clover Way
Eastern 4-H Multi Bldg 12Mb,837K,T12,Outlying,Columbia,837k.pdf,,,,1868,2002,15,1,1,320846,,,1,6,1566,1566,215000,1,14,100 North Clover Way
Eastern 4-H Pool House 09Ph,837G,TP8,Outlying,Columbia,837g.pdf,,,,833,2002,15,1,1,478598,,,1,6,326,326,285600,1,14,100 North Clover Way
Eastern 4-H Recreation Building,838R,T44,Outlying,Columbia,838r.pdf,,,,20819,2012,5,1,1,4411374,,,1,6,15597,15597,3862230,1,14,100 North Clover Way
